Virginia Department of Education,,,,,,,,,,,,,,,,,,,,,
"2015-2016 Student Membership by School (Grade, Ethnicity, & Gender)",,,,,,,,,,,,,,,,,,,,,
(11/18/2015),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Division No.,Division Name,School No.,School Name,Grade,Hispanic/ of any Race Male,Hispanic/ of any Race Female,"American Indian/Alaska Native 
Male","American Indian/Alaska Native 
Female",Asian Male,Asian Female,Black or African American Male,Black or African American Female,"Native Hawaiian/
Pacific Islander 
Male","Native Hawaiian/
Pacific Islander Female","White
Male",White Female,"Two or more races  (Non-Hispanic)
Male","Two or more races (Non-Hispanic)
Female","Total
Full-time Students",Part-time Students,"Total 
Full-time & Part-time Students"
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,12,0,0,0,0,0,0,0,0,0,0,6,2,0,0,8,0,8
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,KG,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,3
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,1,10,8,0,0,0,2,11,9,0,1,18,10,4,5,78,0,78
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,2,10,10,0,0,2,1,10,12,0,0,24,16,2,4,91,0,91
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,3,11,17,1,1,1,4,11,13,0,0,15,15,2,4,95,0,95
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,4,7,12,0,0,3,1,10,6,0,0,17,15,3,3,77,0,77
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,5,6,7,0,0,1,1,10,8,0,1,15,14,2,2,67,0,67
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,KG,11,11,0,0,3,0,8,12,0,1,19,18,9,3,95,0,95
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,PK,9,10,0,0,0,0,6,3,0,0,2,2,3,3,38,0,38
2,ALBEMARLE CO PBLC SCHS,"1,060",ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,6,1,0,0,0,0,0,0,0,0,0,5,4,1,0,11,0,11
2,ALBEMARLE CO PBLC SCHS,"1,060",ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,7,2,0,0,0,0,0,0,0,0,0,9,7,1,0,19,0,19
2,ALBEMARLE CO PBLC SCHS,"1,060",ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,8,1,2,0,0,0,0,2,0,0,0,6,4,2,1,18,0,18
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,9,26,26,0,1,16,23,44,35,0,0,166,131,11,13,492,1,493
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,10,26,30,0,3,20,18,49,31,0,0,175,166,12,14,544,0,544
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,11,27,21,1,1,15,19,40,34,0,0,129,161,11,11,470,0,470
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,12,23,22,0,0,12,19,31,38,0,1,186,117,10,8,467,0,467
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,1,8,3,0,0,1,5,11,3,0,0,35,39,1,5,111,0,111
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,2,8,4,0,0,2,3,5,4,0,0,34,36,4,7,107,0,107
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,3,8,6,0,0,2,0,9,7,0,0,28,33,3,5,101,0,101
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,4,6,6,1,0,2,4,4,4,0,0,33,22,3,2,87,0,87
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,5,6,3,0,0,3,4,4,6,0,0,34,33,4,3,100,0,100
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,KG,1,6,0,0,3,1,1,0,0,0,35,27,4,6,84,0,84
2,ALBEMARLE CO PBLC SCHS,"1,053",BAKER-BUTLER ELEM,PK,1,0,0,0,0,0,1,0,0,0,5,2,0,3,12,0,12
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,1,0,0,0,0,0,0,1,3,0,0,8,5,0,0,17,0,17
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,2,2,2,0,0,0,0,4,1,0,0,2,5,0,3,19,0,19
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,3,1,0,0,0,0,0,2,2,0,0,7,5,1,1,19,0,19
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,4,2,3,0,0,0,0,3,2,0,0,6,10,1,1,28,0,28
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,5,0,2,0,0,0,0,0,3,0,0,6,2,0,2,15,0,15
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,KG,0,1,0,0,0,0,2,2,0,0,6,9,1,0,21,0,21
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,1,0,1,0,0,0,0,0,0,0,0,28,13,1,2,45,0,45
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,2,3,1,0,0,0,1,0,1,0,0,16,18,1,1,42,0,42
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,3,1,2,0,0,0,0,0,0,0,0,23,30,1,0,57,0,57
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,4,2,1,0,0,1,0,0,0,0,0,12,22,2,3,43,0,43
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,5,1,2,0,2,1,0,0,0,0,0,21,24,4,1,56,0,56
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,KG,0,0,0,0,0,0,0,0,0,0,20,12,0,0,32,0,32
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,1,3,0,0,0,0,1,0,0,0,0,62,54,3,3,126,0,126
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,2,8,5,0,0,2,4,1,1,0,0,41,45,1,3,111,0,111
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,3,1,1,0,0,1,7,1,3,0,0,53,65,2,3,137,0,137
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,4,2,4,0,0,0,3,0,1,0,0,46,42,2,3,103,0,103
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,5,4,5,0,0,0,0,2,2,0,0,71,45,1,4,134,0,134
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,KG,1,1,0,0,2,2,2,1,0,0,45,38,3,1,96,0,96
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,PK,3,1,0,0,0,1,3,0,0,0,9,7,1,1,26,0,26
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,1,1,0,0,0,0,1,2,1,0,0,30,20,3,0,58,0,58
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,2,2,4,0,0,2,0,1,1,0,0,29,26,3,2,70,0,70
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,3,1,1,0,1,1,1,0,0,0,0,24,21,2,2,54,0,54
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,4,2,1,0,0,0,0,0,0,0,0,26,16,2,0,47,0,47
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,5,1,0,0,0,0,0,2,2,0,0,20,21,3,2,51,0,51
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,KG,2,1,0,0,0,0,1,0,0,0,21,26,2,2,55,0,55
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,PK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,1,4,0,0,0,2,3,2,2,0,0,26,27,4,3,73,0,73
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,2,3,7,1,0,4,7,2,0,0,0,21,26,8,3,82,0,82
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,3,3,4,2,0,5,7,3,2,0,0,31,23,1,3,84,0,84
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,4,2,0,0,0,2,4,0,4,0,0,33,33,1,2,81,0,81
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,5,2,3,0,0,7,7,2,0,0,0,18,27,3,6,75,0,75
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,KG,0,1,0,0,6,3,0,2,0,0,26,18,3,0,59,0,59
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,PK,2,4,0,0,1,0,2,2,0,0,5,8,2,2,28,0,28
2,ALBEMARLE CO PBLC SCHS,950,JACK JOUETT MIDDLE,6,22,17,0,0,5,8,20,18,0,1,48,45,7,5,196,0,196
2,ALBEMARLE CO PBLC SCHS,950,JACK JOUETT MIDDLE,7,17,23,0,0,5,6,19,13,0,0,58,47,5,6,199,0,199
2,ALBEMARLE CO PBLC SCHS,950,JACK JOUETT MIDDLE,8,17,22,0,0,7,11,25,17,0,0,53,47,4,4,207,0,207
2,ALBEMARLE CO PBLC SCHS,69,JACKSON P BURLEY MIDDLE,6,19,25,0,0,3,9,19,18,0,0,40,43,6,8,190,0,190
2,ALBEMARLE CO PBLC SCHS,69,JACKSON P BURLEY MIDDLE,7,23,17,0,0,4,6,15,18,0,0,41,54,7,9,194,1,195
2,ALBEMARLE CO PBLC SCHS,69,JACKSON P BURLEY MIDDLE,8,14,8,0,0,2,4,16,17,0,0,52,45,5,8,171,1,172
2,ALBEMARLE CO PBLC SCHS,942,JOSEPH T HENLEY MIDDLE,6,4,6,1,0,1,5,4,5,0,0,128,114,5,2,275,0,275
2,ALBEMARLE CO PBLC SCHS,942,JOSEPH T HENLEY MIDDLE,7,10,4,0,0,3,8,5,0,0,0,108,126,2,4,270,0,270
